business_id,business_name,plan_tier,seats,mrr,signup_date,renewal_date,is_power_user_seed
BUS-002880,Initech Media,Mid,4,88.7,2025-02-28,2027-02-28,False
BUS-002881,Harbor Retail,Free,1,0.0,2024-07-04,2026-07-04,False
BUS-002882,Pioneer Retail,Free,3,0.0,2025-05-14,2027-05-14,False
BUS-002883,Bright Works,Mid,10,80.95,2023-05-26,2027-05-25,True
BUS-002884,Nova Bakery,Premium,15,159.63,2024-11-06,2026-11-06,False
BUS-002885,Pioneer Consulting,Free,1,0.0,2026-02-21,2027-02-21,False
BUS-002886,Cobalt Trading,Free,3,0.0,2025-08-28,2026-08-28,False
BUS-002887,Pioneer Studios,Mid,16,39.21,2023-08-30,2026-08-29,True
BUS-002888,Pioneer Supply,Free,3,0.0,2023-05-22,2027-05-21,False
BUS-002889,Bright Group,Free,1,0.0,2024-06-26,2026-06-26,False
BUS-002890,Bright Works,Free,2,0.0,2023-07-02,2026-07-01,False
BUS-002891,Vertex Studios,Free,2,0.0,2024-08-31,2026-08-31,False
BUS-002892,Harbor Builders,Free,2,0.0,2023-06-25,2026-06-24,False
BUS-002893,Pioneer Media,Free,2,0.0,2023-12-22,2026-12-21,False
BUS-002894,Summit Bakery,Mid,16,72.96,2025-05-05,2027-05-05,False
BUS-002895,Acme Studios,Premium,98,406.86,2024-06-23,2026-06-23,False
BUS-002896,Nova Health,Premium,10,679.49,2026-02-06,2027-02-06,False
BUS-002897,Initech Foods,Free,1,0.0,2025-01-14,2027-01-14,False
BUS-002898,Harbor Logistics,Free,1,0.0,2024-07-06,2026-07-06,False
BUS-002899,Cobalt Trading,Free,2,0.0,2024-06-07,2026-06-07,False
BUS-002900,Vertex Bakery,Free,3,0.0,2023-12-15,2026-12-14,False
BUS-002901,Apex Supply,Free,2,0.0,2023-06-05,2026-06-04,False
BUS-002902,Quantum Group,Mid,14,64.34,2023-07-16,2026-07-15,False
BUS-002903,Summit Group,Free,3,0.0,2023-11-13,2026-11-12,False
BUS-002904,Pioneer Consulting,Free,1,0.0,2025-08-12,2026-08-12,False
BUS-002905,Stellar Consulting,Premium,46,275.49,2025-12-13,2026-12-13,False
BUS-002906,Initech Studios,Mid,15,87.14,2025-08-04,2026-08-04,False
BUS-002907,Summit Logistics,Free,1,0.0,2026-04-20,2027-04-20,False
BUS-002908,Initech Foods,Free,3,0.0,2026-04-18,2027-04-18,False
BUS-002909,Stellar Works,Free,2,0.0,2025-06-11,2026-06-11,False
BUS-002910,Cobalt Supply,Free,3,0.0,2025-05-31,2027-05-31,False
BUS-002911,Vertex Consulting,Free,1,0.0,2023-10-14,2026-10-13,False
BUS-002912,Pioneer Builders,Premium,71,428.56,2024-11-17,2026-11-17,False
BUS-002913,Globex Media,Free,2,0.0,2025-06-22,2026-06-22,False
BUS-002914,Iron Supply,Free,1,0.0,2023-06-23,2026-06-22,False
BUS-002915,Apex Trading,Premium,80,294.65,2025-10-07,2026-10-07,False
BUS-002916,Umbra Partners,Free,1,0.0,2023-11-16,2026-11-15,False
BUS-002917,Stellar Works,Free,2,0.0,2025-02-18,2027-02-18,False
BUS-002918,Acme Media,Mid,14,45.21,2025-04-18,2027-04-18,False
BUS-002919,Bright Consulting,Free,1,0.0,2025-02-20,2027-02-20,False
BUS-002920,Summit Foods,Premium,64,629.64,2025-12-01,2026-12-01,False
BUS-002921,Pioneer Foods,Mid,5,46.55,2025-05-28,2027-05-28,False
BUS-002922,Summit Builders,Mid,16,92.62,2025-03-14,2027-03-14,False
BUS-002923,Cobalt Foods,Free,2,0.0,2023-09-29,2026-09-28,False
BUS-002924,Quantum Labs,Free,2,0.0,2024-09-18,2026-09-18,False
BUS-002925,Umbra Consulting,Mid,7,90.58,2023-07-19,2026-07-18,False
BUS-002926,Acme Consulting,Premium,87,644.92,2023-11-18,2026-11-17,False
BUS-002927,Iron Partners,Mid,10,34.89,2026-01-11,2027-01-11,False
BUS-002928,Quantum Studios,Mid,6,64.32,2024-07-04,2026-07-04,True
BUS-002929,Nova Auto,Free,3,0.0,2025-10-15,2026-10-15,False
BUS-002930,Stellar Consulting,Free,3,0.0,2026-01-13,2027-01-13,False
BUS-002931,Cobalt Works,Free,1,0.0,2024-11-07,2026-11-07,False
BUS-002932,Pioneer Retail,Free,3,0.0,2023-11-19,2026-11-18,False
BUS-002933,Pioneer Consulting,Mid,14,79.35,2024-04-02,2027-04-02,False
BUS-002934,Globex Trading,Free,3,0.0,2024-02-17,2027-02-16,False
BUS-002935,Quantum Supply,Free,2,0.0,2024-08-24,2026-08-24,False
BUS-002936,Initech Auto,Mid,16,70.09,2024-07-17,2026-07-17,True
BUS-002937,Nova Consulting,Mid,5,96.79,2025-10-25,2026-10-25,True
BUS-002938,Initech Health,Mid,14,95.93,2024-05-21,2027-05-21,False
BUS-002939,Stellar Trading,Free,2,0.0,2023-06-22,2026-06-21,False
BUS-002940,Initech Retail,Mid,6,93.82,2024-01-04,2027-01-03,False
BUS-002941,Globex Studios,Mid,10,36.51,2025-09-11,2026-09-11,True
BUS-002942,Iron Group,Mid,4,44.51,2025-09-05,2026-09-05,False
BUS-002943,Globex Bakery,Free,3,0.0,2025-07-23,2026-07-23,False
BUS-002944,Apex Bakery,Mid,14,77.14,2025-09-09,2026-09-09,True
BUS-002945,Umbra Trading,Free,1,0.0,2026-02-08,2027-02-08,False
BUS-002946,Iron Foods,Free,3,0.0,2024-06-01,2027-06-01,False
BUS-002947,Globex Health,Free,3,0.0,2025-02-20,2027-02-20,False
BUS-002948,Vertex Works,Mid,9,56.62,2025-03-04,2027-03-04,False
BUS-002949,Summit Consulting,Mid,13,86.79,2023-06-03,2027-06-02,True
BUS-002950,Apex Studios,Free,2,0.0,2026-03-19,2027-03-19,False
BUS-002951,Nova Studios,Premium,11,495.86,2024-07-05,2026-07-05,False
BUS-002952,Pioneer Auto,Mid,9,39.02,2025-04-03,2027-04-03,False
BUS-002953,Stellar Auto,Mid,16,85.37,2026-05-02,2027-05-02,False
BUS-002954,Acme Bakery,Free,3,0.0,2023-07-23,2026-07-22,False
BUS-002955,Nova Builders,Free,2,0.0,2025-09-04,2026-09-04,False
BUS-002956,Pioneer Supply,Free,2,0.0,2024-07-05,2026-07-05,False
BUS-002957,Acme Builders,Free,1,0.0,2025-02-24,2027-02-24,False
BUS-002958,Globex Group,Premium,29,165.39,2023-08-22,2026-08-21,False
BUS-002959,Cobalt Foods,Free,3,0.0,2025-06-07,2026-06-07,False
BUS-002960,Initech Group,Mid,7,34.22,2025-12-30,2026-12-30,False
BUS-002961,Bright Foods,Free,3,0.0,2026-03-20,2027-03-20,False
BUS-002962,Harbor Media,Free,2,0.0,2025-09-27,2026-09-27,False
BUS-002963,Quantum Health,Free,1,0.0,2026-04-19,2027-04-19,False
BUS-002964,Acme Auto,Free,1,0.0,2025-08-22,2026-08-22,False
BUS-002965,Pioneer Group,Premium,61,723.95,2023-10-23,2026-10-22,False
BUS-002966,Iron Auto,Premium,49,523.74,2024-04-05,2027-04-05,False
BUS-002967,Quantum Builders,Free,2,0.0,2025-05-16,2027-05-16,False
BUS-002968,Cedar Works,Free,1,0.0,2025-07-28,2026-07-28,False
BUS-002969,Globex Bakery,Free,1,0.0,2026-02-03,2027-02-03,False
BUS-002970,Bright Foods,Mid,11,38.58,2025-03-06,2027-03-06,True
BUS-002971,Initech Partners,Free,2,0.0,2024-10-16,2026-10-16,False
BUS-002972,Acme Bakery,Free,3,0.0,2026-02-06,2027-02-06,False
BUS-002973,Acme Bakery,Mid,13,55.64,2025-09-27,2026-09-27,True
BUS-002974,Globex Group,Premium,17,428.07,2025-03-30,2027-03-30,False
BUS-002975,Iron Foods,Free,1,0.0,2026-01-14,2027-01-14,False
BUS-002976,Pioneer Builders,Free,1,0.0,2024-09-22,2026-09-22,False
BUS-002977,Vertex Bakery,Free,1,0.0,2024-02-04,2027-02-03,False
BUS-002978,Pioneer Works,Mid,3,31.22,2023-11-25,2026-11-24,False
BUS-002979,Cobalt Labs,Free,2,0.0,2024-12-01,2026-12-01,False
BUS-002980,Harbor Retail,Free,3,0.0,2026-04-23,2027-04-23,False
BUS-002981,Iron Builders,Premium,35,514.18,2025-06-18,2026-06-18,False
BUS-002982,Initech Foods,Mid,17,57.55,2025-07-04,2026-07-04,True
BUS-002983,Cedar Supply,Mid,14,89.76,2026-03-27,2027-03-27,True
BUS-002984,Harbor Labs,Free,1,0.0,2024-08-06,2026-08-06,False
BUS-002985,Iron Bakery,Mid,15,38.15,2023-11-01,2026-10-31,False
BUS-002986,Quantum Logistics,Premium,14,161.79,2024-11-13,2026-11-13,False
BUS-002987,Harbor Foods,Mid,12,83.01,2024-10-29,2026-10-29,False
BUS-002988,Globex Health,Mid,14,34.6,2025-05-17,2027-05-17,True
BUS-002989,Cobalt Foods,Mid,12,87.52,2024-02-16,2027-02-15,False
BUS-002990,Bright Supply,Mid,6,62.43,2023-11-17,2026-11-16,False
BUS-002991,Umbra Studios,Mid,14,50.48,2024-01-14,2027-01-13,False
BUS-002992,Cobalt Partners,Free,2,0.0,2026-01-24,2027-01-24,False
BUS-002993,Bright Consulting,Mid,6,46.33,2025-05-13,2027-05-13,False
BUS-002994,Summit Bakery,Free,3,0.0,2023-06-14,2026-06-13,False
BUS-002995,Cedar Consulting,Premium,67,634.21,2025-12-18,2026-12-18,False
BUS-002996,Iron Trading,Premium,94,233.74,2025-02-20,2027-02-20,False
BUS-002997,Umbra Logistics,Free,3,0.0,2025-05-18,2027-05-18,False
BUS-002998,Cedar Bakery,Free,1,0.0,2026-03-09,2027-03-09,False
BUS-002999,Iron Studios,Mid,17,95.56,2025-11-14,2026-11-14,False
BUS-003000,Summit Labs,Premium,20,735.61,2026-03-20,2027-03-20,False
BUS-003001,Summit Studios,Mid,16,34.94,2024-02-07,2027-02-06,False
BUS-003002,Pioneer Foods,Free,1,0.0,2023-10-23,2026-10-22,False
BUS-003003,Acme Consulting,Mid,10,98.08,2024-03-30,2027-03-30,False
BUS-003004,Globex Group,Free,1,0.0,2024-11-19,2026-11-19,False
BUS-003005,Vertex Retail,Free,2,0.0,2025-10-25,2026-10-25,False
BUS-003006,Apex Logistics,Free,1,0.0,2024-08-29,2026-08-29,False
BUS-003007,Cobalt Builders,Mid,13,35.88,2025-06-15,2026-06-15,False
BUS-003008,Apex Partners,Mid,12,76.93,2023-07-06,2026-07-05,True
BUS-003009,Umbra Builders,Mid,3,48.7,2024-05-08,2027-05-08,False
BUS-003010,Umbra Auto,Premium,21,624.07,2023-12-19,2026-12-18,False
BUS-003011,Vertex Partners,Free,2,0.0,2024-12-12,2026-12-12,False
BUS-003012,Harbor Supply,Free,3,0.0,2025-01-30,2027-01-30,False
BUS-003013,Vertex Health,Free,2,0.0,2024-02-09,2027-02-08,False
BUS-003014,Summit Supply,Mid,17,72.33,2023-12-23,2026-12-22,False
BUS-003015,Bright Labs,Free,1,0.0,2024-11-08,2026-11-08,False
BUS-003016,Nova Logistics,Free,3,0.0,2024-08-03,2026-08-03,False
BUS-003017,Umbra Supply,Free,1,0.0,2024-06-11,2026-06-11,False
BUS-003018,Bright Builders,Free,2,0.0,2024-12-23,2026-12-23,False
BUS-003019,Quantum Builders,Free,1,0.0,2026-05-04,2027-05-04,False
BUS-003020,Quantum Trading,Free,3,0.0,2023-07-12,2026-07-11,False
BUS-003021,Cobalt Studios,Premium,27,741.01,2024-02-15,2027-02-14,False
BUS-003022,Bright Labs,Premium,77,417.1,2025-12-16,2026-12-16,False
BUS-003023,Umbra Foods,Mid,4,36.24,2025-12-04,2026-12-04,False
BUS-003024,Stellar Group,Free,3,0.0,2025-06-04,2026-06-04,False
BUS-003025,Bright Labs,Free,1,0.0,2023-09-04,2026-09-03,False
BUS-003026,Cedar Media,Free,1,0.0,2026-02-04,2027-02-04,False
BUS-003027,Pioneer Builders,Mid,4,58.04,2026-03-21,2027-03-21,False
BUS-003028,Bright Media,Mid,10,40.13,2025-08-22,2026-08-22,False
BUS-003029,Bright Supply,Mid,16,43.53,2024-09-19,2026-09-19,False
BUS-003030,Initech Studios,Mid,10,82.89,2023-08-17,2026-08-16,False
BUS-003031,Acme Supply,Mid,12,67.68,2026-02-08,2027-02-08,False
BUS-003032,Umbra Builders,Free,3,0.0,2025-07-11,2026-07-11,False
BUS-003033,Umbra Foods,Free,2,0.0,2024-01-08,2027-01-07,False
BUS-003034,Cedar Group,Mid,12,42.93,2024-02-17,2027-02-16,False
BUS-003035,Apex Works,Mid,11,73.22,2024-12-11,2026-12-11,False
BUS-003036,Summit Logistics,Free,3,0.0,2024-03-15,2027-03-15,False
BUS-003037,Harbor Trading,Free,3,0.0,2024-11-16,2026-11-16,False
BUS-003038,Vertex Trading,Free,3,0.0,2025-08-01,2026-08-01,False
BUS-003039,Apex Trading,Mid,15,63.44,2024-04-25,2027-04-25,False
BUS-003040,Initech Group,Free,1,0.0,2023-09-06,2026-09-05,False
BUS-003041,Harbor Foods,Mid,3,45.89,2024-02-16,2027-02-15,False
BUS-003042,Umbra Builders,Free,3,0.0,2025-08-20,2026-08-20,False
BUS-003043,Apex Partners,Free,3,0.0,2026-01-10,2027-01-10,False
BUS-003044,Nova Health,Free,1,0.0,2024-08-26,2026-08-26,False
BUS-003045,Vertex Trading,Free,3,0.0,2024-12-08,2026-12-08,False
BUS-003046,Cedar Group,Free,2,0.0,2024-03-27,2027-03-27,False
BUS-003047,Harbor Group,Free,2,0.0,2026-01-22,2027-01-22,False
BUS-003048,Harbor Group,Free,1,0.0,2024-08-06,2026-08-06,False
BUS-003049,Acme Works,Premium,72,603.76,2024-06-07,2026-06-07,False
BUS-003050,Acme Group,Mid,7,83.76,2025-02-06,2027-02-06,False
BUS-003051,Apex Supply,Free,2,0.0,2024-11-22,2026-11-22,False
BUS-003052,Summit Trading,Mid,16,74.35,2023-12-29,2026-12-28,False
BUS-003053,Pioneer Foods,Free,3,0.0,2024-06-19,2026-06-19,False
BUS-003054,Vertex Consulting,Premium,11,566.88,2023-12-15,2026-12-14,False
BUS-003055,Vertex Works,Free,1,0.0,2024-09-09,2026-09-09,False
BUS-003056,Summit Supply,Free,2,0.0,2023-09-07,2026-09-06,False
BUS-003057,Apex Labs,Free,2,0.0,2025-12-18,2026-12-18,False
BUS-003058,Umbra Logistics,Free,1,0.0,2024-10-06,2026-10-06,False
BUS-003059,Apex Trading,Free,3,0.0,2024-12-06,2026-12-06,False
BUS-003060,Umbra Partners,Free,3,0.0,2026-04-04,2027-04-04,False
BUS-003061,Nova Retail,Mid,9,63.68,2023-07-27,2026-07-26,False
BUS-003062,Iron Labs,Premium,32,496.7,2024-05-01,2027-05-01,False
BUS-003063,Cedar Consulting,Premium,44,417.67,2024-01-19,2027-01-18,False
BUS-003064,Globex Retail,Mid,9,35.33,2025-09-19,2026-09-19,False
BUS-003065,Harbor Foods,Free,1,0.0,2023-08-28,2026-08-27,False
BUS-003066,Globex Works,Free,3,0.0,2024-03-05,2027-03-05,False
BUS-003067,Vertex Health,Mid,16,74.49,2024-04-10,2027-04-10,False
BUS-003068,Harbor Builders,Free,3,0.0,2025-01-13,2027-01-13,False
BUS-003069,Globex Group,Free,2,0.0,2026-01-28,2027-01-28,False
BUS-003070,Summit Works,Free,3,0.0,2024-04-12,2027-04-12,False
BUS-003071,Initech Bakery,Free,1,0.0,2025-03-27,2027-03-27,False
BUS-003072,Iron Health,Free,1,0.0,2025-06-23,2026-06-23,False
BUS-003073,Initech Works,Mid,12,83.57,2023-08-02,2026-08-01,False
BUS-003074,Quantum Health,Free,2,0.0,2025-03-08,2027-03-08,False
BUS-003075,Stellar Supply,Mid,13,81.96,2023-08-06,2026-08-05,True
BUS-003076,Acme Trading,Mid,16,35.09,2023-09-05,2026-09-04,False
BUS-003077,Globex Builders,Mid,4,72.47,2024-03-03,2027-03-03,False
BUS-003078,Globex Supply,Free,3,0.0,2025-04-01,2027-04-01,False
BUS-003079,Nova Builders,Mid,15,98.52,2024-07-08,2026-07-08,False
BUS-003080,Acme Trading,Mid,6,53.17,2025-01-19,2027-01-19,False
BUS-003081,Initech Supply,Premium,99,622.7,2025-10-04,2026-10-04,False
BUS-003082,Initech Group,Free,3,0.0,2024-09-25,2026-09-25,False
BUS-003083,Cedar Builders,Free,1,0.0,2024-10-10,2026-10-10,False
BUS-003084,Globex Retail,Premium,56,306.99,2023-12-11,2026-12-10,False
BUS-003085,Stellar Works,Mid,17,55.31,2025-12-20,2026-12-20,False
BUS-003086,Umbra Studios,Mid,11,37.5,2024-07-17,2026-07-17,False
BUS-003087,Cedar Supply,Free,3,0.0,2023-06-20,2026-06-19,False
BUS-003088,Nova Trading,Mid,12,70.55,2023-05-20,2027-05-19,False
BUS-003089,Nova Partners,Free,2,0.0,2023-08-23,2026-08-22,False
BUS-003090,Cedar Supply,Free,2,0.0,2025-07-27,2026-07-27,False
BUS-003091,Cedar Consulting,Free,1,0.0,2024-03-15,2027-03-15,False
BUS-003092,Iron Consulting,Free,1,0.0,2025-01-26,2027-01-26,False
BUS-003093,Nova Bakery,Free,1,0.0,2025-10-05,2026-10-05,False
BUS-003094,Apex Consulting,Premium,94,479.82,2026-03-04,2027-03-04,False
BUS-003095,Globex Retail,Premium,82,276.05,2025-05-16,2027-05-16,False
BUS-003096,Umbra Labs,Free,1,0.0,2026-02-02,2027-02-02,False
BUS-003097,Acme Logistics,Free,1,0.0,2026-04-30,2027-04-30,False
BUS-003098,Acme Partners,Mid,9,62.29,2024-03-18,2027-03-18,True
BUS-003099,Stellar Auto,Mid,4,30.78,2025-11-14,2026-11-14,False
BUS-003100,Globex Foods,Free,1,0.0,2024-09-20,2026-09-20,False
BUS-003101,Initech Trading,Premium,47,707.13,2024-12-21,2026-12-21,False
BUS-003102,Summit Group,Mid,7,59.48,2025-07-25,2026-07-25,False
BUS-003103,Globex Labs,Premium,85,339.84,2025-10-16,2026-10-16,False
BUS-003104,Apex Consulting,Free,1,0.0,2023-10-11,2026-10-10,False
BUS-003105,Apex Works,Free,2,0.0,2024-06-29,2026-06-29,False
BUS-003106,Apex Group,Mid,8,31.37,2026-01-30,2027-01-30,False
BUS-003107,Apex Auto,Free,1,0.0,2026-04-08,2027-04-08,False
BUS-003108,Quantum Health,Free,1,0.0,2025-11-01,2026-11-01,False
BUS-003109,Umbra Supply,Free,2,0.0,2024-07-10,2026-07-10,False
BUS-003110,Cobalt Trading,Mid,17,94.14,2024-10-31,2026-10-31,False
BUS-003111,Stellar Group,Free,1,0.0,2024-04-12,2027-04-12,False
BUS-003112,Nova Supply,Free,1,0.0,2024-09-09,2026-09-09,False
BUS-003113,Vertex Supply,Free,3,0.0,2024-01-26,2027-01-25,False
BUS-003114,Umbra Partners,Mid,15,31.08,2025-01-10,2027-01-10,False
BUS-003115,Initech Auto,Free,3,0.0,2023-08-15,2026-08-14,False
BUS-003116,Vertex Auto,Free,3,0.0,2023-12-08,2026-12-07,False
BUS-003117,Apex Labs,Free,1,0.0,2023-10-17,2026-10-16,False
BUS-003118,Pioneer Works,Mid,6,38.86,2025-11-07,2026-11-07,True
BUS-003119,Summit Logistics,Mid,13,66.54,2025-04-17,2027-04-17,False
BUS-003120,Initech Works,Mid,3,83.27,2024-04-10,2027-04-10,False
BUS-003121,Umbra Works,Free,3,0.0,2024-07-30,2026-07-30,False
BUS-003122,Nova Partners,Free,2,0.0,2025-11-01,2026-11-01,False
BUS-003123,Initech Bakery,Free,3,0.0,2025-04-21,2027-04-21,False
BUS-003124,Cedar Logistics,Free,3,0.0,2025-07-12,2026-07-12,False
BUS-003125,Vertex Consulting,Mid,12,58.2,2025-07-26,2026-07-26,False
BUS-003126,Initech Works,Free,2,0.0,2024-06-19,2026-06-19,False
BUS-003127,Pioneer Builders,Free,3,0.0,2024-11-09,2026-11-09,False
BUS-003128,Summit Auto,Premium,23,643.98,2024-05-25,2027-05-25,False
BUS-003129,Bright Studios,Free,1,0.0,2024-07-20,2026-07-20,False
BUS-003130,Nova Auto,Free,3,0.0,2025-07-19,2026-07-19,False
BUS-003131,Globex Logistics,Free,1,0.0,2026-03-29,2027-03-29,False
BUS-003132,Globex Works,Mid,6,94.77,2024-06-03,2027-06-03,False
BUS-003133,Cobalt Consulting,Free,1,0.0,2024-10-11,2026-10-11,False
BUS-003134,Cedar Labs,Free,3,0.0,2024-07-02,2026-07-02,False
BUS-003135,Vertex Consulting,Free,2,0.0,2023-06-04,2027-06-03,False
BUS-003136,Bright Logistics,Mid,14,61.68,2025-11-01,2026-11-01,True
BUS-003137,Acme Partners,Free,3,0.0,2024-03-31,2027-03-31,False
BUS-003138,Initech Bakery,Free,2,0.0,2026-01-04,2027-01-04,False
BUS-003139,Umbra Logistics,Mid,3,72.73,2023-09-28,2026-09-27,False
BUS-003140,Globex Auto,Free,2,0.0,2025-11-20,2026-11-20,False
BUS-003141,Nova Retail,Free,2,0.0,2026-01-15,2027-01-15,False
BUS-003142,Bright Media,Free,2,0.0,2025-12-10,2026-12-10,False
BUS-003143,Initech Health,Mid,3,96.99,2024-11-25,2026-11-25,False
BUS-003144,Nova Works,Mid,8,78.94,2025-01-25,2027-01-25,False
BUS-003145,Bright Auto,Free,3,0.0,2025-02-22,2027-02-22,False
BUS-003146,Cobalt Bakery,Free,2,0.0,2024-10-10,2026-10-10,False
BUS-003147,Nova Partners,Free,3,0.0,2025-11-05,2026-11-05,False
BUS-003148,Stellar Logistics,Free,2,0.0,2025-11-16,2026-11-16,False
BUS-003149,Nova Auto,Free,2,0.0,2026-02-01,2027-02-01,False
BUS-003150,Initech Works,Mid,13,72.75,2025-02-04,2027-02-04,False
BUS-003151,Iron Builders,Premium,37,732.49,2024-04-27,2027-04-27,False
BUS-003152,Nova Group,Free,1,0.0,2024-06-13,2026-06-13,False
BUS-003153,Bright Trading,Free,2,0.0,2024-10-22,2026-10-22,False
BUS-003154,Cedar Health,Mid,10,43.56,2025-02-10,2027-02-10,False
BUS-003155,Vertex Media,Premium,74,267.14,2024-08-21,2026-08-21,False
BUS-003156,Nova Trading,Mid,9,94.48,2024-09-01,2026-09-01,False
BUS-003157,Iron Builders,Free,1,0.0,2023-11-04,2026-11-03,False
BUS-003158,Pioneer Supply,Mid,9,55.21,2024-06-16,2026-06-16,False
BUS-003159,Acme Trading,Free,3,0.0,2025-04-25,2027-04-25,False
BUS-003160,Umbra Trading,Free,2,0.0,2024-07-09,2026-07-09,False
BUS-003161,Acme Bakery,Free,3,0.0,2024-08-09,2026-08-09,False
BUS-003162,Iron Supply,Premium,22,720.63,2025-10-11,2026-10-11,False
BUS-003163,Nova Media,Free,3,0.0,2026-03-26,2027-03-26,False
BUS-003164,Vertex Consulting,Mid,14,95.97,2024-02-28,2027-02-27,True
BUS-003165,Harbor Builders,Mid,9,80.2,2024-04-05,2027-04-05,False
BUS-003166,Nova Consulting,Mid,4,77.78,2026-05-03,2027-05-03,False
BUS-003167,Globex Labs,Free,2,0.0,2024-05-03,2027-05-03,False
BUS-003168,Initech Media,Free,2,0.0,2026-01-21,2027-01-21,False
BUS-003169,Pioneer Builders,Free,1,0.0,2025-04-25,2027-04-25,False
BUS-003170,Globex Works,Free,3,0.0,2024-06-08,2026-06-08,False
BUS-003171,Iron Retail,Free,2,0.0,2025-10-12,2026-10-12,False
BUS-003172,Pioneer Labs,Mid,10,71.65,2026-01-23,2027-01-23,False
BUS-003173,Globex Labs,Premium,95,600.6,2025-12-21,2026-12-21,False
BUS-003174,Summit Labs,Premium,46,724.44,2025-02-16,2027-02-16,False
BUS-003175,Acme Builders,Free,3,0.0,2025-09-04,2026-09-04,False
BUS-003176,Bright Trading,Free,1,0.0,2025-02-19,2027-02-19,False
BUS-003177,Initech Logistics,Free,3,0.0,2024-09-29,2026-09-29,False
BUS-003178,Quantum Media,Free,3,0.0,2025-10-24,2026-10-24,False
BUS-003179,Pioneer Foods,Premium,88,685.14,2024-04-29,2027-04-29,False
BUS-003180,Globex Auto,Premium,97,490.25,2025-07-08,2026-07-08,False
BUS-003181,Bright Partners,Free,1,0.0,2026-01-03,2027-01-03,False
BUS-003182,Bright Trading,Mid,12,30.91,2026-03-26,2027-03-26,False
BUS-003183,Cobalt Builders,Free,2,0.0,2023-11-17,2026-11-16,False
BUS-003184,Cobalt Builders,Free,3,0.0,2024-12-26,2026-12-26,False
BUS-003185,Summit Health,Mid,5,80.17,2025-02-12,2027-02-12,False
BUS-003186,Cobalt Works,Mid,8,90.33,2026-03-23,2027-03-23,True
BUS-003187,Harbor Labs,Free,1,0.0,2024-06-19,2026-06-19,False
BUS-003188,Acme Logistics,Free,3,0.0,2024-05-22,2027-05-22,False
BUS-003189,Cedar Studios,Free,2,0.0,2024-08-01,2026-08-01,False
BUS-003190,Cedar Consulting,Premium,33,321.52,2023-10-07,2026-10-06,False
BUS-003191,Quantum Health,Mid,13,43.07,2025-07-02,2026-07-02,False
BUS-003192,Acme Trading,Free,1,0.0,2025-12-13,2026-12-13,False
BUS-003193,Globex Auto,Mid,13,92.65,2023-12-23,2026-12-22,False
BUS-003194,Cedar Foods,Free,3,0.0,2024-01-08,2027-01-07,False
BUS-003195,Apex Supply,Free,1,0.0,2025-11-04,2026-11-04,False
BUS-003196,Summit Media,Free,1,0.0,2026-04-21,2027-04-21,False
BUS-003197,Harbor Consulting,Premium,68,350.45,2023-10-24,2026-10-23,False
BUS-003198,Summit Consulting,Free,3,0.0,2023-12-19,2026-12-18,False
BUS-003199,Bright Consulting,Free,1,0.0,2024-12-28,2026-12-28,False
BUS-003200,Vertex Logistics,Mid,17,78.6,2023-10-10,2026-10-09,False
BUS-003201,Nova Labs,Free,2,0.0,2026-03-15,2027-03-15,False
BUS-003202,Vertex Foods,Premium,24,204.5,2024-05-29,2027-05-29,False
BUS-003203,Vertex Bakery,Mid,11,30.43,2025-04-12,2027-04-12,False
BUS-003204,Umbra Partners,Mid,12,80.79,2025-05-19,2027-05-19,True
BUS-003205,Umbra Group,Mid,13,55.62,2025-10-23,2026-10-23,False
BUS-003206,Initech Media,Free,2,0.0,2024-06-23,2026-06-23,False
BUS-003207,Umbra Supply,Mid,10,78.32,2023-09-14,2026-09-13,True
BUS-003208,Cobalt Retail,Mid,3,79.62,2024-06-08,2026-06-08,False
BUS-003209,Cobalt Consulting,Free,2,0.0,2025-06-22,2026-06-22,False
BUS-003210,Umbra Studios,Mid,7,53.22,2024-08-06,2026-08-06,False
BUS-003211,Acme Trading,Free,2,0.0,2025-06-06,2026-06-06,False
BUS-003212,Nova Foods,Free,1,0.0,2024-09-08,2026-09-08,False
BUS-003213,Cedar Logistics,Free,1,0.0,2026-01-03,2027-01-03,False
BUS-003214,Stellar Studios,Free,2,0.0,2024-10-11,2026-10-11,False
BUS-003215,Bright Auto,Premium,77,598.66,2025-12-20,2026-12-20,False
BUS-003216,Acme Studios,Mid,14,43.74,2026-04-14,2027-04-14,False
BUS-003217,Cedar Studios,Free,1,0.0,2026-01-21,2027-01-21,False
BUS-003218,Iron Partners,Free,1,0.0,2025-08-10,2026-08-10,False
BUS-003219,Quantum Auto,Free,1,0.0,2025-10-05,2026-10-05,False
BUS-003220,Bright Media,Mid,3,92.9,2025-08-10,2026-08-10,False
BUS-003221,Acme Trading,Premium,62,302.08,2025-03-27,2027-03-27,False
BUS-003222,Iron Works,Free,3,0.0,2025-01-17,2027-01-17,False
BUS-003223,Quantum Studios,Free,2,0.0,2025-10-20,2026-10-20,False
BUS-003224,Initech Group,Mid,13,31.6,2025-06-07,2026-06-07,False
BUS-003225,Apex Trading,Mid,16,78.01,2025-12-04,2026-12-04,False
BUS-003226,Umbra Labs,Premium,30,499.22,2025-02-12,2027-02-12,False
BUS-003227,Initech Supply,Free,3,0.0,2024-10-16,2026-10-16,False
BUS-003228,Stellar Bakery,Free,1,0.0,2025-11-19,2026-11-19,False
